school_name_url,district_name_url,District_Name,school_short
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml#schools'>Ottoson Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml'>Arlington Public Schools</a>,Arlington Public Schools,"Ottoson Middle, arlington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml#schools'>Arlington High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml'>Arlington Public Schools</a>,Arlington Public Schools,"Arlington High, arlington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashburnhamwestminster.xml#schools'>Westminster Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashburnhamwestminster.xml'>Ashburnham-Westminster Regional</a>,Ashburnham-Westminster Regional,"Westminster Elementary, ashburnhamwestminster"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashburnhamwestminster.xml#schools'>Briggs Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashburnhamwestminster.xml'>Ashburnham-Westminster Regional</a>,Ashburnham-Westminster Regional,"Briggs Elementary, ashburnhamwestminster"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashburnhamwestminster.xml#schools'>Overlook Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashburnhamwestminster.xml'>Ashburnham-Westminster Regional</a>,Ashburnham-Westminster Regional,"Overlook Middle School, ashburnhamwestminster"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashburnhamwestminster.xml#schools'>Oakmont Regional High School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashburnhamwestminster.xml'>Ashburnham-Westminster Regional</a>,Ashburnham-Westminster Regional,"Oakmont Regional High School, ashburnhamwestminster"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashland.xml#schools'>David Mindess</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashland.xml'>Ashland Public Schools</a>,Ashland Public Schools,"David Mindess, ashland"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashland.xml#schools'>Ashland Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashland.xml'>Ashland Public Schools</a>,Ashland Public Schools,"Ashland Middle, ashland"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashland.xml#schools'>Ashland High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashland.xml'>Ashland Public Schools</a>,Ashland Public Schools,"Ashland High, ashland"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/assabetvalleyregional.xml#schools'>Assabet Valley Vocational High School</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/assabetvalleyregional.xml'>Assabet Valley Vocational, Marlborough</a>","Assabet Valley Vocational, Marlborough","Assabet Valley Vocational High School, assabetvalleyregional"
