school_name_url,district_name_url,District_Name,school_short
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Moody Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"Moody Elementary, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Charles W Morey</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"Charles W Morey, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Pawtucketville Memorial</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"Pawtucketville Memorial, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Peter W Reilly</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"Peter W Reilly, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>John J Shaughnessy</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"John J Shaughnessy, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Washington</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"Washington, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>S Christa McAuliffe Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"S Christa McAuliffe Elementary, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Charlotte M Murkland Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"Charlotte M Murkland Elementary, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Laura Lee Therapeutic Day School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"Laura Lee Therapeutic Day School, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Bartlett Community Partnership</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"Bartlett Community Partnership, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>B.F.Butler Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"B.F.Butler Middle School, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>James S Daley Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"James S Daley Middle School, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Leblanc Therapeutic Day School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"Leblanc Therapeutic Day School, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Henry J Robinson Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"Henry J Robinson Middle, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>James Sullivan Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"James Sullivan Middle School, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Dr An Wang School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"Dr An Wang School, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Kathryn P. Stoklosa Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"Kathryn P. Stoklosa Middle School, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml#schools'>Lowell High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowell.xml'>Lowell Public Schools</a>,Lowell Public Schools,"Lowell High, lowell"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowellcollegiate.xml#schools'>Lowell Collegiate Charter School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowellcollegiate.xml'>Lowell Collegiate Charter School</a>,Lowell Collegiate Charter School,"Lowell Collegiate Charter School, lowellcollegiate"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowellcommunitycharter.xml#schools'>Lowell Community Charter Public School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowellcommunitycharter.xml'>Lowell Community Charter</a>,Lowell Community Charter,"Lowell Community Charter Public School, lowellcommunitycharter"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowellmiddlesexacademycharter.xml#schools'>Lowell Middlesex Academy Charter School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lowellmiddlesexacademycharter.xml'>Lowell Middlesex Academy</a>,Lowell Middlesex Academy,"Lowell Middlesex Academy Charter School, lowellmiddlesexacademycharter"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ludlow.xml#schools'>Chapin Street Elementary School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ludlow.xml'>Ludlow Public Schools</a>,Ludlow Public Schools,"Chapin Street Elementary School, ludlow"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ludlow.xml#schools'>Veterans Park Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ludlow.xml'>Ludlow Public Schools</a>,Ludlow Public Schools,"Veterans Park Elementary, ludlow"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ludlow.xml#schools'>Paul R Baird Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ludlow.xml'>Ludlow Public Schools</a>,Ludlow Public Schools,"Paul R Baird Middle, ludlow"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ludlow.xml#schools'>Ludlow Senior High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ludlow.xml'>Ludlow Public Schools</a>,Ludlow Public Schools,"Ludlow Senior High, ludlow"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lunenburg.xml#schools'>Lunenburg Primary School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lunenburg.xml'>Lunenburg Public Schools</a>,Lunenburg Public Schools,"Lunenburg Primary School, lunenburg"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lunenburg.xml#schools'>Turkey Hill Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lunenburg.xml'>Lunenburg Public Schools</a>,Lunenburg Public Schools,"Turkey Hill Middle, lunenburg"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lunenburg.xml#schools'>Lunenburg High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lunenburg.xml'>Lunenburg Public Schools</a>,Lunenburg Public Schools,"Lunenburg High, lunenburg"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Washington Elementary School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Washington Elementary School, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Aborn</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Aborn, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>A Drewicz Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"A Drewicz Elementary, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Brickett Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Brickett Elementary, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Julia F Callahan</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Julia F Callahan, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Cobbet Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Cobbet Elementary, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Wm P Connery</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Wm P Connery, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>E J Harrington</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"E J Harrington, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Robert L Ford</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Robert L Ford, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Hood</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Hood, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Ingalls</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Ingalls, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Lincoln-Thomson</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Lincoln-Thomson, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Lynn Woods</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Lynn Woods, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>William R Fallon</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"William R Fallon, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Sewell-Anderson</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Sewell-Anderson, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Capt William G Shoemaker</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Capt William G Shoemaker, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Edward A Sisson</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Edward A Sisson, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Tracy</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Tracy, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Thurgood Marshall Mid</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Thurgood Marshall Mid, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Breed Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Breed Middle School, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Pickering Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Pickering Middle, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Classical High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Classical High, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Lynn English High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Lynn English High, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Fecteau-Leary Junior/Senior High School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Fecteau-Leary Junior/Senior High School, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Lynn Vocational Technical Institute</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml'>Lynn Public Schools</a>,Lynn Public Schools,"Lynn Vocational Technical Institute, lynn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynnfield.xml#schools'>Huckleberry Hill</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynnfield.xml'>Lynnfield Public Schools</a>,Lynnfield Public Schools,"Huckleberry Hill, lynnfield"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynnfield.xml#schools'>Summer Street</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynnfield.xml'>Lynnfield Public Schools</a>,Lynnfield Public Schools,"Summer Street, lynnfield"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynnfield.xml#schools'>Lynnfield Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynnfield.xml'>Lynnfield Public Schools</a>,Lynnfield Public Schools,"Lynnfield Middle School, lynnfield"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynnfield.xml#schools'>Lynnfield High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynnfield.xml'>Lynnfield Public Schools</a>,Lynnfield Public Schools,"Lynnfield High, lynnfield"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/maacademyformathandscience.xml#schools'>Ma Academy for Math and Science School</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/maacademyformathandscience.xml'>Mass. Academy for Math and Science, Worcester</a>","Mass. Academy for Math and Science, Worcester","Ma Academy for Math and Science School, maacademyformathandscience"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/malden.xml#schools'>Beebe</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/malden.xml'>Malden Public Schools</a>,Malden Public Schools,"Beebe, malden"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/malden.xml#schools'>Ferryway</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/malden.xml'>Malden Public Schools</a>,Malden Public Schools,"Ferryway, malden"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/malden.xml#schools'>Forestdale</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/malden.xml'>Malden Public Schools</a>,Malden Public Schools,"Forestdale, malden"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/malden.xml#schools'>Linden</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/malden.xml'>Malden Public Schools</a>,Malden Public Schools,"Linden, malden"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/malden.xml#schools'>Salemwood</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/malden.xml'>Malden Public Schools</a>,Malden Public Schools,"Salemwood, malden"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/malden.xml#schools'>Malden High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/malden.xml'>Malden Public Schools</a>,Malden Public Schools,"Malden High, malden"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/manchesteressexregional.xml#schools'>Manchester Memorial Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/manchesteressexregional.xml'>Manchester Essex Regional</a>,Manchester Essex Regional,"Manchester Memorial Elementary, manchesteressexregional"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/manchesteressexregional.xml#schools'>Essex Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/manchesteressexregional.xml'>Manchester Essex Regional</a>,Manchester Essex Regional,"Essex Elementary, manchesteressexregional"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/manchesteressexregional.xml#schools'>Manchester Essex Regional Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/manchesteressexregional.xml'>Manchester Essex Regional</a>,Manchester Essex Regional,"Manchester Essex Regional Middle School, manchesteressexregional"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/manchesteressexregional.xml#schools'>Manchester Essex Regional High School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/manchesteressexregional.xml'>Manchester Essex Regional</a>,Manchester Essex Regional,"Manchester Essex Regional High School, manchesteressexregional"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/mansfield.xml#schools'>Jordan/Jackson Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/mansfield.xml'>Mansfield Public Schools</a>,Mansfield Public Schools,"Jordan/Jackson Elementary, mansfield"
